Date,All,Australian Capital Territory,New South Wales,Northern Territory,Queensland,South Australia,Tasmania,Victoria,Western Australia,Other
14/3/04,79,0,6,0,7,0,28,31,7,0
15/3/04,116,0,24,0,8,39,1,39,5,0
16/3/04,197,0,84,0,16,20,28,33,16,0
17/3/04,369,0,122,0,23,52,27,28,117,0
25/11/07,1444,0,0,263,323,1,5,2,850,0
24/11/07,1050,0,2,177,422,0,25,14,410,0
27/11/07,1231,0,3,286,285,1,2,0,654,0
26/11/07,1818,0,0,229,264,0,6,1,1318,0
21/11/07,1041,0,19,100,380,2,0,0,540,0
20/11/07,1031,0,29,44,375,0,0,10,573,0
23/11/07,999,0,1,276,368,0,4,4,346,0
22/11/07,1024,0,5,76,592,0,0,0,351,0
29/11/07,1085,0,4,100,149,19,0,0,813,0
28/11/07,1251,0,3,200,109,2,2,0,935,0
8/1/07,219,0,5,22,67,0,4,113,8,0
9/1/07,419,0,9,0,43,5,2,317,43,0
2/1/07,256,0,4,34,179,0,0,1,38,0
3/1/07,290,0,34,109,93,0,0,37,17,0
1/1/07,167,0,3,50,70,9,0,0,35,0
6/1/07,262,0,11,53,161,0,0,23,14,0
7/1/07,261,0,7,15,40,0,0,187,12,0
4/1/07,306,0,8,39,167,0,10,74,8,0
5/1/07,428,0,25,77,110,0,0,208,8,0
30/5/08,550,0,18,246,38,2,3,1,242,0
31/5/08,643,0,19,457,10,4,1,2,150,0
8/2/15,277,0,17,4,19,0,3,2,232,0
9/2/15,167,0,10,0,30,2,0,6,119,0
6/2/15,331,0,22,6,43,1,0,0,259,0
7/2/15,281,0,14,0,12,0,0,0,255,0
4/2/15,913,0,11,1,91,0,0,0,810,0
5/2/15,376,0,5,7,50,0,3,0,311,0
2/2/15,209,0,8,0,79,1,1,0,120,0
3/2/15,180,0,22,19,86,0,0,0,53,0
1/2/15,266,0,8,2,40,0,2,0,214,0
26/9/12,2710,0,107,1086,515,13,0,1,988,0
27/9/12,2344,0,58,737,415,47,8,9,1070,0
24/9/12,2564,0,55,1344,321,3,0,0,841,0
25/9/12,2517,0,74,735,569,8,0,4,1127,0
22/9/12,2984,0,41,1305,243,6,0,5,1384,0
23/9/12,2421,0,92,733,681,4,0,0,911,0
20/9/12,3153,0,20,1270,394,3,0,5,1461,0
21/9/12,3231,0,55,1023,589,8,0,0,1556,0
31/7/14,490,0,105,224,101,0,0,4,56,0
30/7/14,396,0,75,113,166,0,0,0,42,0
28/9/12,2059,0,74,924,606,12,0,0,443,0
29/9/12,2054,0,12,583,115,16,0,0,1328,0
18/12/04,1168,0,6,310,203,0,0,1,647,1
19/12/04,1169,0,16,246,159,2,3,0,743,0
12/12/04,822,0,0,156,66,0,2,1,597,0
13/12/04,928,0,4,82,186,0,0,0,656,0
10/12/04,1054,0,5,512,6,0,0,0,531,0
11/12/04,667,0,2,236,82,1,0,0,346,0
16/12/04,1136,0,3,327,118,1,0,4,683,0
17/12/04,1251,0,27,302,120,7,0,6,789,0
14/12/04,1133,0,32,323,151,1,0,0,626,0
15/12/04,1231,0,41,113,415,2,0,0,660,0
20/10/16,506,0,42,18,369,1,0,0,76,0
21/10/16,433,0,13,14,200,0,0,0,206,0
22/10/16,362,0,4,4,211,0,0,1,142,0
23/10/16,302,0,9,25,50,0,0,0,218,0
24/10/16,420,0,36,61,114,6,1,4,198,0
25/10/16,409,0,74,23,160,1,2,3,146,0
26/10/16,396,0,35,23,163,3,5,0,167,0
27/10/16,562,0,18,21,364,5,0,0,154,0
28/10/16,569,0,23,83,289,3,9,3,159,0
29/10/16,666,0,22,48,509,1,3,4,79,0
14/4/01,374,0,0,239,48,1,4,5,77,0
15/4/01,300,0,23,107,32,0,1,11,126,0
16/4/01,262,0,5,122,61,0,10,7,57,0
17/4/01,286,1,42,112,11,4,8,13,95,0
10/4/01,603,0,22,402,4,0,7,6,162,0
11/4/01,398,0,30,94,64,11,0,1,198,0
12/4/01,803,0,37,554,101,5,3,3,100,0
13/4/01,304,0,42,39,56,3,12,15,137,0
18/4/01,336,0,48,30,79,29,0,37,113,0
19/4/01,271,0,64,102,25,3,2,4,71,0
16/11/12,1999,0,27,373,797,44,0,0,758,0
17/11/12,2443,0,135,334,938,118,0,0,918,0
10/9/15,1305,0,44,877,137,3,7,0,237,0
11/9/15,976,0,24,580,110,1,1,5,255,0
